Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,1000509,490586.0,509923.0,60687,70126,60104,60500.0,46012.0,60140.0,73577.0,73064.0,60986.0,40038.0,69419.0,,60944,63880,63345,69022,68665
Atlanta Falcons,1099463,572811.0,526652.0,66714,72443,60295,72108.0,71787.0,60140.0,71856.0,71483.0,,73283.0,73106.0,71463.0,71993,70592,70910,70873,50417
Baltimore Ravens,1091363,565020.0,526343.0,65012,70126,73390,70686.0,64037.0,70051.0,69012.0,,71157.0,45918.0,70731.0,72409.0,71029,69134,70545,67431,70695
Buffalo Bills,1123350,550713.0,572637.0,78523,74569,69448,70317.0,66910.0,,68340.0,69435.0,67685.0,67431.0,64187.0,67338.0,90445,69134,64694,65878,69016
Carolina Panthers,1122333,577765.0,544568.0,72005,71101,60104,71699.0,72762.0,60087.0,,69083.0,72540.0,78090.0,73106.0,73068.0,71504,70592,72544,61845,72203
Chicago Bears,1051152,495332.0,555820.0,62435,76885,67327,62131.0,60463.0,,62306.0,61632.0,69796.0,61758.0,70758.0,61581.0,65412,61276,78266,62213,66913
Cincinnati Bengals,907640,377432.0,530208.0,68710,50666,69448,57959.0,46012.0,70051.0,42784.0,83720.0,,45918.0,51921.0,47423.0,39804,67431,57066,60968,47759
Cleveland Browns,1075124,539448.0,535676.0,67431,78523,67431,70686.0,70585.0,67431.0,,65878.0,76743.0,67431.0,67431.0,67431.0,62157,67431,63345,67431,47759
Dallas Cowboys,1289027,727432.0,561595.0,90353,75128,90127,73086.0,93024.0,78523.0,91213.0,,76107.0,91188.0,61801.0,65878.0,90445,61276,90436,69796,90646
Denver Broncos,1104191,607497.0,496694.0,52359,76885,78078,76219.0,25357.0,75815.0,76748.0,61653.0,76743.0,,66883.0,67338.0,74638,71769,73257,74115,76334
Detroit Lions,1011888,490737.0,521151.0,60687,60158,69796,65188.0,,76947.0,60314.0,58509.0,53318.0,61758.0,61801.0,57754.0,65412,66776,56515,74115,62840
Green Bay Packers,1154661,622762.0,531899.0,62435,78416,78078,77509.0,93024.0,76947.0,78160.0,73558.0,25435.0,78090.0,,71500.0,75950,77296,78266,67157,62840
Houston Texans,1075836,574345.0,501491.0,73039,71651,25349,71699.0,71787.0,73323.0,59977.0,71893.0,84771.0,,70731.0,71727.0,72025,71769,65265,49036,71794
Indianapolis Colts,965049,488886.0,476163.0,25363,62849,60295,62259.0,73352.0,,59977.0,61653.0,61115.0,60510.0,61986.0,71727.0,60361,50232,73053,61845,58472
Jacksonville Jaguars,1014675,504686.0,509989.0,60157,71651,58613,76219.0,72762.0,64341.0,42784.0,57833.0,84771.0,,61986.0,60926.0,62633,57866,52788,70873,58472
Kansas City Chiefs,1115771,587723.0,528048.0,60157,52748,73390,65188.0,73352.0,73323.0,76748.0,73558.0,73615.0,68864.0,76252.0,,73548,65878,73257,62213,73680
Los Angeles Chargers,760644,254007.0,506637.0,25363,60158,25349,64278.0,25357.0,25425.0,62431.0,61632.0,25435.0,51954.0,76252.0,,74638,57866,25446,25380,73680
Los Angeles Rams,1147715,582325.0,565390.0,72005,71460,67431,68117.0,68988.0,75695.0,71856.0,83720.0,,63627.0,70758.0,72409.0,60944,71501,90436,70103,68665
Miami Dolphins,1067487,504540.0,562947.0,65012,65513,90127,64278.0,,59808.0,68340.0,59244.0,59229.0,60510.0,64187.0,67431.0,65545,78523,72894,60968,65878
Minnesota Vikings,1070025,534794.0,535231.0,66714,78416,66738,62131.0,75041.0,66837.0,60314.0,66776.0,73615.0,91188.0,66883.0,,69080,66776,25446,67157,66913
New England Patriots,1087904,527024.0,560880.0,65878,65513,65878,70317.0,76483.0,65878.0,78523.0,65878.0,71157.0,,69796.0,65878.0,72025,65878,57066,65878,65878
New Orleans Saints,1117057,584660.0,532397.0,73039,71460,69005,73086.0,73029.0,64341.0,62306.0,73064.0,,73283.0,54333.0,73068.0,71993,73038,73053,66756,72203
New York Giants,1143109,597316.0,545793.0,90353,74569,55070,74149.0,75041.0,65878.0,73577.0,58509.0,76107.0,78523.0,,61581.0,75950,69796,72894,66083,75029
New York Jets,1116711,628184.0,488527.0,78523,78523,65878,,69796.0,78523.0,78523.0,57833.0,59229.0,78523.0,56426.0,78523.0,39804,78523,70545,78523,69016
Oakland Raiders,961146,428311.0,532835.0,52359,52748,66738,62259.0,60463.0,,78160.0,71893.0,53318.0,51954.0,51921.0,78523.0,73548,52760,52788,25380,76334
Philadelphia Eagles,1139525,558268.0,581257.0,69696,72443,69796,77509.0,69796.0,66837.0,91213.0,69435.0,69796.0,,69796.0,69796.0,65545,69796,63246,69796,75029
Pittsburgh Steelers,986590,497896.0,488694.0,65878,65063,69439,57959.0,64037.0,25425.0,,59244.0,61115.0,63627.0,67431.0,47423.0,62157,63880,64694,78523,70695
San Francisco 49ers,1080454,562443.0,518011.0,55976,50666,69439,,70585.0,75695.0,61459.0,69083.0,60986.0,71404.0,69419.0,71500.0,71029,73038,70910,70103,69162
Seattle Seahawks,1101649,551927.0,549722.0,68710,65063,69005,60500.0,68988.0,67431.0,69012.0,71483.0,68948.0,71404.0,,69796.0,69080,71501,72544,69022,69162
Tampa Bay Buccaneers,949068,415189.0,533879.0,55976,71101,55070,68117.0,73029.0,60087.0,,62073.0,68948.0,40038.0,54333.0,71463.0,62633,50232,56515,49036,50417
Tennessee Titans,1047496,516074.0,531422.0,67431,62849,58613,72108.0,66910.0,75815.0,62431.0,62073.0,72540.0,68864.0,,60926.0,60361,52760,65265,66756,71794
Washington Redskins,1101466,523906.0,577560.0,69696,75128,67327,74149.0,76483.0,59808.0,61459.0,66776.0,67685.0,,56426.0,57754.0,71504,77296,63246,66083,90646
