Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,1083135,518652.0,564483.0,64864,64230,68647,64622.0,70178.0,64709.0,65089.0,74088.0,,65127.0,66808.0,69233,64939.0,65750,65072,69050,80729
Atlanta Falcons,1116392,559998.0,556394.0,69382,54081,73003,70508.0,76802.0,69071.0,69832.0,70165.0,57797.0,69596.0,,69233,69879.0,82495,70164,73549,70835
Baltimore Ravens,1134133,568823.0,565310.0,71104,67431,60127,71152.0,71318.0,78487.0,78160.0,,71286.0,70921.0,93056.0,70903,70916.0,66829,71223,66276,54944
Buffalo Bills,1098702,548073.0,550629.0,71104,70256,68647,66829.0,83679.0,70003.0,65658.0,70442.0,69084.0,,61356.0,67849,54759.0,69657,66529,64690,78160
Carolina Panthers,1159680,590343.0,569337.0,76843,74143,73813,70508.0,73425.0,73138.0,,74088.0,86109.0,74181.0,73288.0,54909,69104.0,73856,76689,73549,62037
Chicago Bears,1060607,482951.0,577656.0,71933,62268,90554,60841.0,66622.0,61054.0,78217.0,60422.0,,62898.0,78898.0,59494,59782.0,61726,61137,57953,66808
Cincinnati Bengals,1088770,508071.0,580699.0,78160,65072,63850,60834.0,91653.0,66829.0,65047.0,84488.0,,76218.0,61356.0,70903,55456.0,60028,62096,71836,54944
Cleveland Browns,1044825,514489.0,530336.0,69596,67431,65176,76249.0,67431.0,60897.0,65047.0,67431.0,67431.0,70921.0,67431.0,60034,,60028,66529,57272,55921
Dallas Cowboys,1322087,740318.0,581769.0,92867,80612,90554,70178.0,91653.0,78481.0,,93103.0,67431.0,67737.0,93056.0,93099,66860.0,80874,93101,92885,69596
Denver Broncos,1133943,614193.0,519750.0,76843,76379,63850,60375.0,76802.0,58904.0,76865.0,76756.0,54957.0,73138.0,,76819,63075.0,68780,76893,76671,76836
Detroit Lions,1075305,486342.0,588963.0,65566,58466,78411,60841.0,58047.0,56018.0,60461.0,71882.0,66807.0,,61486.0,63793,73137.0,61726,79434,92885,66345
Green Bay Packers,1169215,625727.0,543488.0,63179,66813,78411,,78401.0,78481.0,78217.0,70165.0,78437.0,69116.0,77137.0,69596,77867.0,78057,61137,77856,66345
Houston Texans,1132210,574947.0,557263.0,71933,71890,66829,71815.0,66683.0,71891.0,76865.0,71882.0,,62091.0,76473.0,71897,77867.0,65250,71803,71836,65205
Indianapolis Colts,1100210,524393.0,575817.0,65566,76379,64747,83764.0,66622.0,71891.0,65470.0,65417.0,78437.0,,65048.0,66583,78160.0,65250,66820,54896,65160
Jacksonville Jaguars,1031602,517172.0,514430.0,63179,52165,60127,83764.0,,61054.0,62614.0,61619.0,73294.0,62091.0,61486.0,67849,63075.0,62701,71803,59621,65160
Kansas City Chiefs,1115214,586624.0,528590.0,73238,71890,71587,61278.0,,54211.0,76282.0,65417.0,73294.0,74181.0,72277.0,76819,69879.0,75191,68084,76671,54915
Los Angeles Rams,1198268,665318.0,532950.0,70178,91046,55009,64622.0,83679.0,56018.0,74121.0,,86109.0,78160.0,83483.0,73067,66829.0,82495,69067,83656,80729
Miami Dolphins,1073132,524101.0,549031.0,69012,66829,65176,60834.0,64425.0,65351.0,65658.0,,65722.0,55107.0,83483.0,65856,70916.0,65750,78160,64690,66163
Minnesota Vikings,1084502,534289.0,550213.0,63816,66813,73813,66690.0,66683.0,,69596.0,60422.0,66807.0,78216.0,66808.0,63793,66860.0,62701,66820,77856,66808
New England Patriots,1094772,534632.0,560140.0,64864,66829,66829,66829.0,67431.0,66829.0,66009.0,70442.0,,66829.0,70178.0,78160,66829.0,66829,76893,66829,66163
New Orleans Saints,1141039,584876.0,556163.0,73028,77727,73003,60641.0,,73138.0,76282.0,73188.0,70178.0,73138.0,73288.0,73067,73137.0,62140,65072,73177,70835
New York Giants,1217320,630315.0,587005.0,92867,77727,78368,66690.0,78401.0,78487.0,74121.0,,80309.0,76218.0,78898.0,60034,65825.0,80874,79434,69596,79471
New York Jets,1168377,625280.0,543097.0,78160,70256,71587,78160.0,66385.0,64709.0,78160.0,67431.0,65722.0,78160.0,,78160,78160.0,70178,78160,66829,78160
Oakland Raiders,1009172,458561.0,550611.0,73028,54081,62370,71152.0,54275.0,54211.0,62614.0,61068.0,54957.0,,76473.0,54909,54759.0,75191,68352,54896,76836
Philadelphia Eagles,1125298,556768.0,568530.0,69596,62268,69596,,58047.0,78934.0,69596.0,93103.0,80309.0,69596.0,69190.0,69596,55456.0,69596,71223,69596,69596
Pittsburgh Steelers,1065627,514503.0,551124.0,79124,65072,69596,61278.0,66385.0,65351.0,66009.0,,71286.0,67737.0,67431.0,66583,65825.0,69657,62096,66276,55921
San Diego Chargers,998070,456197.0,541873.0,73238,52165,64747,60641.0,54275.0,58904.0,69832.0,76756.0,52281.0,55107.0,,71897,53832.0,73856,68352,57272,54915
San Francisco 49ers,1119165,561424.0,557741.0,70178,74143,69010,70178.0,70178.0,70003.0,70178.0,,70178.0,65127.0,70178.0,65856,59782.0,70178,70164,83656,70178
Seattle Seahawks,1138809,552588.0,586221.0,69012,91046,69010,78160.0,,69071.0,65089.0,73188.0,69084.0,66829.0,69190.0,63674,69104.0,78057,69067,69050,70178
Tampa Bay Buccaneers,1054600,484998.0,569602.0,69382,64230,55009,60375.0,73425.0,,70178.0,61068.0,57797.0,62898.0,72277.0,63674,53832.0,62140,93101,73177,62037
Tennessee Titans,1016507,517273.0,499234.0,63816,58466,62370,71815.0,64425.0,60897.0,65470.0,61619.0,52281.0,69116.0,65048.0,59494,,68780,68084,59621,65205
