Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,season,Week 18
Buffalo Bills,1107077,547450.0,559627.0,73846.0,70683.0,66206.0,70494.0,70764.0,73586.0,,70863.0,83135.0,70844.0,52146.0,66553.0,65878.0,70603.0,70794.0,59929.0,,2022,70753.0
Carolina Panthers,1201413,642167.0,559246.0,72205.0,73843.0,70496.0,69810.0,72321.0,71482.0,71941.0,68996.0,66160.0,72029.0,70677.0,70644.0,,68672.0,73548.0,69173.0,69298.0,2022,70118.0
Chicago Bears,1131267,538410.0,592857.0,62159.0,78350.0,60592.0,74044.0,66929.0,61873.0,65878.0,93767.0,62377.0,61817.0,69757.0,77963.0,61233.0,,48423.0,59929.0,66169.0,2022,60007.0
Cincinnati Bengals,1109393,463733.0,645660.0,65841.0,92944.0,73708.0,67260.0,70548.0,70004.0,66158.0,67431.0,66160.0,,66401.0,69441.0,66243.0,66222.0,69305.0,65878.0,,2022,65849.0
Cleveland Browns,1118849,539448.0,579401.0,72205.0,67431.0,67431.0,69435.0,67431.0,67431.0,70461.0,67431.0,,66563.0,52146.0,67431.0,66523.0,66222.0,67431.0,67431.0,50827.0,2022,65019.0
Dallas Cowboys,1409563,841192.0,568371.0,93797.0,92944.0,79445.0,92946.0,74154.0,69879.0,93487.0,93767.0,,78433.0,65304.0,93568.0,93086.0,93843.0,69050.0,93754.0,69292.0,2022,62814.0
Denver Broncos,1251020,607845.0,643175.0,68965.0,76191.0,77021.0,62332.0,76667.0,70240.0,76624.0,86215.0,,69240.0,76056.0,70644.0,70443.0,76072.0,75179.0,71525.0,73571.0,2022,74035.0
Detroit Lions,1157336,570809.0,586527.0,64537.0,57687.0,66638.0,63920.0,65878.0,,93487.0,61447.0,63379.0,61817.0,76267.0,66553.0,60743.0,66374.0,75076.0,69173.0,66169.0,2022,78191.0
Green Bay Packers,1213888,685623.0,528265.0,66959.0,78350.0,69197.0,78317.0,61024.0,78343.0,60427.0,70863.0,63379.0,78433.0,77506.0,69879.0,61233.0,,77269.0,66328.0,78190.0,2022,78191.0
Houston Texans,1163275,543294.0,619981.0,69415.0,76191.0,60592.0,69071.0,60018.0,,61228.0,68467.0,68831.0,71615.0,65865.0,66205.0,66523.0,93843.0,70541.0,66634.0,64581.0,2022,63655.0
Indianapolis Colts,1163736,524474.0,639262.0,69415.0,58360.0,65975.0,65781.0,76667.0,65749.0,69459.0,65515.0,65878.0,62197.0,66241.0,65982.0,93086.0,,66801.0,65576.0,77399.0,2022,63655.0
Jacksonville Jaguars,1130728,531675.0,599053.0,58192.0,58360.0,67964.0,69879.0,60018.0,65749.0,65664.0,86215.0,62758.0,73493.0,,59560.0,60743.0,68409.0,69050.0,70043.0,64581.0,2022,70050.0
Kansas City Chiefs,1202995,587997.0,614998.0,63697.0,73461.0,65975.0,68348.0,73523.0,73586.0,71746.0,,73475.0,73493.0,70240.0,73557.0,66243.0,76072.0,70541.0,73331.0,73571.0,2022,62136.0
Las Vegas Raiders,1125946,496363.0,629583.0,70240.0,61707.0,68649.0,62332.0,73523.0,,61228.0,70009.0,62758.0,62197.0,76056.0,68849.0,62123.0,74738.0,62273.0,64761.0,62367.0,2022,62136.0
Los Angeles Chargers,1175977,559644.0,616333.0,70240.0,73461.0,67964.0,69071.0,67431.0,70240.0,70240.0,,69299.0,71709.0,70240.0,63628.0,62123.0,70240.0,70240.0,65576.0,70240.0,2022,74035.0
Los Angeles Rams,1218216,654606.0,563610.0,73846.0,71802.0,63243.0,71597.0,74154.0,71482.0,,73505.0,69019.0,71752.0,70025.0,73557.0,71802.0,74738.0,77269.0,71525.0,70240.0,2022,68660.0
Miami Dolphins,1152651,529841.0,622810.0,65786.0,70582.0,66206.0,67260.0,82500.0,66100.0,66224.0,61447.0,62377.0,66563.0,,66205.0,71732.0,70240.0,70794.0,66328.0,65878.0,2022,66429.0
Minnesota Vikings,1130867,600183.0,530684.0,66959.0,69879.0,66638.0,60639.0,66929.0,66100.0,,66742.0,58651.0,70844.0,65304.0,66918.0,66973.0,66374.0,66801.0,66919.0,78190.0,2022,60007.0
New England Patriots,1151883,527024.0,624859.0,65786.0,67307.0,65878.0,78317.0,65878.0,67431.0,65878.0,82823.0,65878.0,,65878.0,66918.0,65878.0,63251.0,62273.0,65878.0,65878.0,2022,70753.0
New Orleans Saints,1168868,621249.0,547619.0,70078.0,70400.0,70496.0,60639.0,70003.0,70004.0,63290.0,70009.0,70010.0,66544.0,70025.0,71275.0,68709.0,,70041.0,67431.0,69796.0,2022,70118.0
New York Giants,1243963,688266.0,555697.0,67805.0,73843.0,79445.0,74044.0,61024.0,78019.0,65664.0,68921.0,,71615.0,76267.0,93568.0,76128.0,81506.0,61917.0,66919.0,77399.0,2022,69879.0
New York Jets,1251761,624075.0,627686.0,78827.0,67431.0,73708.0,66578.0,82500.0,78343.0,76624.0,82823.0,83135.0,,65878.0,77963.0,66973.0,70603.0,75076.0,70043.0,68827.0,2022,66429.0
Philadelphia Eagles,1180465,628828.0,551637.0,64537.0,69879.0,64426.0,69879.0,63919.0,69879.0,,69879.0,68831.0,69879.0,66241.0,69879.0,69879.0,81506.0,48423.0,93754.0,69796.0,2022,69879.0
Pittsburgh Steelers,1151279,530243.0,621036.0,65841.0,67307.0,67431.0,66578.0,70764.0,67307.0,66224.0,69879.0,,66544.0,66401.0,65982.0,70325.0,66326.0,73548.0,64761.0,71042.0,2022,65019.0
San Francisco 49ers,1209231,644661.0,564570.0,62159.0,71597.0,77021.0,71597.0,72321.0,69813.0,71746.0,73505.0,,71709.0,78427.0,71275.0,71732.0,71725.0,68957.0,71642.0,62367.0,2022,71638.0
Seattle Seahawks,1174177,619491.0,554686.0,68965.0,71597.0,68773.0,63920.0,70003.0,68867.0,70240.0,68921.0,63982.0,69811.0,,68849.0,71802.0,68672.0,68957.0,73331.0,68827.0,2022,68660.0
Tampa Bay Buccaneers,1196168,620898.0,575270.0,93797.0,70400.0,69197.0,68348.0,68299.0,67307.0,71941.0,68912.0,69019.0,69811.0,,67431.0,68709.0,71725.0,69305.0,63393.0,69298.0,2022,69276.0
Tennessee Titans,1166846,548929.0,617917.0,67805.0,70683.0,68649.0,65781.0,51836.0,,69459.0,68467.0,73475.0,69240.0,77506.0,69441.0,69879.0,68409.0,70240.0,66634.0,69292.0,2022,70050.0
Washington Commanders,1084489,522954.0,561535.0,58192.0,57687.0,64426.0,92946.0,51836.0,61873.0,60427.0,65515.0,58651.0,69879.0,65865.0,53864.0,76128.0,,61917.0,71642.0,50827.0,2022,62814.0
Arizona Cardinals,1113568,502912.0,610656.0,64693.0,62080.0,62915.0,71521.0,62651.0,71202.0,68781.0,63064.0,67919.0,62861.0,70247.0,62177.0,66436.0,,63967.0,59978.0,69879.0,2023,63197.0
Atlanta Falcons,1176416,556828.0,619588.0,69597.0,69251.0,63803.0,85716.0,69461.0,69921.0,62620.0,68008.0,69715.0,62861.0,,70166.0,74455.0,69496.0,70301.0,69221.0,61752.0,2023,70072.0
Baltimore Ravens,1170734,635380.0,535354.0,70136.0,66015.0,70038.0,67919.0,67272.0,61011.0,70989.0,63064.0,70753.0,70424.0,70997.0,70240.0,,70492.0,68021.0,71812.0,71196.0,2023,70355.0
Buffalo Bills,1183200,626483.0,556717.0,83345.0,70772.0,64291.0,70881.0,61273.0,70515.0,64628.0,70416.0,66965.0,70318.0,70603.0,69879.0,,73639.0,70933.0,67678.0,70772.0,2023,66292.0
Carolina Panthers,1163926,573086.0,590840.0,69597.0,72709.0,68699.0,72842.0,63648.0,65529.0,,71505.0,72301.0,61200.0,73543.0,62493.0,62432.0,70009.0,70301.0,70875.0,67233.0,2023,69010.0
Chicago Bears,1111491,494157.0,617334.0,62456.0,62976.0,73562.0,62220.0,63727.0,62167.0,62199.0,70240.0,70006.0,61200.0,63873.0,66843.0,,62185.0,67919.0,59978.0,61752.0,2023,78188.0
Cincinnati Bengals,1144696,594361.0,550335.0,67919.0,66015.0,65158.0,68951.0,62651.0,66385.0,,71655.0,66965.0,66526.0,70997.0,65090.0,67951.0,65981.0,66376.0,66646.0,73565.0,2023,65865.0
Cleveland Browns,1168498,610295.0,558203.0,67919.0,67576.0,67919.0,67919.0,,67431.0,65552.0,68807.0,67919.0,70424.0,67919.0,76261.0,72887.0,67431.0,67919.0,70831.0,67919.0,2023,65865.0
Dallas Cowboys,1378746,748755.0,629991.0,80809.0,93689.0,62915.0,93719.0,71617.0,70240.0,,93448.0,69879.0,93338.0,73543.0,93711.0,93367.0,93752.0,70933.0,66410.0,93731.0,2023,63645.0
Denver Broncos,1226925,687498.0,539427.0,76299.0,76108.0,65522.0,62220.0,76387.0,73528.0,76880.0,76286.0,,70318.0,76848.0,76261.0,71670.0,70240.0,64500.0,76201.0,76228.0,2023,61429.0
Detroit Lions,1170249,518741.0,651508.0,73522.0,66434.0,63803.0,78052.0,63648.0,65854.0,70989.0,66774.0,,70240.0,63873.0,66476.0,70003.0,62185.0,64500.0,66932.0,93731.0,2023,63233.0
Green Bay Packers,1242403,622636.0,619767.0,62456.0,69251.0,78043.0,78052.0,62572.0,,76880.0,78113.0,77409.0,67617.0,77432.0,66476.0,78124.0,76637.0,77275.0,70875.0,67003.0,2023,78188.0
Houston Texans,1184936,640742.0,544194.0,70136.0,71159.0,61466.0,71399.0,69461.0,71810.0,,71505.0,70785.0,66526.0,70247.0,71324.0,71670.0,72956.0,66219.0,70831.0,71517.0,2023,65925.0
Indianapolis Colts,1113729,587393.0,526336.0,65749.0,71159.0,70038.0,65337.0,65287.0,64851.0,65552.0,65427.0,72301.0,50144.0,,64407.0,62641.0,65981.0,64171.0,69221.0,65538.0,2023,65925.0
Jacksonville Jaguars,1150901,621599.0,529302.0,65749.0,69915.0,61466.0,85716.0,61273.0,64851.0,70009.0,67225.0,,69271.0,67175.0,71324.0,67951.0,67431.0,68021.0,62547.0,67233.0,2023,63744.0
Kansas City Chiefs,1205847,638715.0,567132.0,73522.0,69915.0,73562.0,80461.0,67003.0,73528.0,73642.0,76286.0,50023.0,,73754.0,62441.0,78124.0,73639.0,64628.0,73480.0,73565.0,2023,68274.0
Las Vegas Raiders,1111041,559713.0,551328.0,76299.0,70772.0,62541.0,70240.0,62572.0,61985.0,62199.0,66774.0,62082.0,62383.0,66026.0,62441.0,,62626.0,61654.0,73480.0,65538.0,2023,61429.0
Los Angeles Chargers,1190939,627632.0,563307.0,70240.0,67438.0,66878.0,70240.0,,70240.0,73642.0,70240.0,75407.0,70240.0,77432.0,70240.0,64628.0,70240.0,61654.0,67678.0,76228.0,2023,68274.0
Los Angeles Rams,1235049,585204.0,649845.0,68683.0,74742.0,65158.0,65337.0,74935.0,71202.0,73471.0,93448.0,77409.0,,72704.0,62177.0,72887.0,70492.0,72035.0,73228.0,75517.0,2023,71624.0
Miami Dolphins,1136583,593304.0,543279.0,70240.0,64628.0,65522.0,70881.0,65654.0,65529.0,69879.0,65836.0,50023.0,,66026.0,82973.0,63459.0,66068.0,65967.0,66410.0,71196.0,2023,66292.0
Minnesota Vikings,1157107,535308.0,621799.0,66741.0,69879.0,66878.0,72842.0,67003.0,62167.0,66975.0,78113.0,69715.0,66933.0,76848.0,66843.0,,62626.0,66376.0,66932.0,67003.0,2023,63233.0
New England Patriots,1165144,567168.0,597976.0,64628.0,64628.0,80876.0,93719.0,64628.0,61985.0,64628.0,65836.0,64628.0,50144.0,,82211.0,64628.0,66376.0,64628.0,76201.0,70772.0,2023,64628.0
New Orleans Saints,1188849,560164.0,628685.0,70024.0,72709.0,78043.0,70003.0,64628.0,71810.0,70009.0,65427.0,70006.0,66933.0,,70166.0,70003.0,70009.0,70038.0,73228.0,65741.0,2023,70072.0
New York Giants,1262352,634459.0,627893.0,80809.0,62080.0,71593.0,78507.0,65654.0,70515.0,81671.0,83367.0,62082.0,93338.0,62714.0,82211.0,,76637.0,70038.0,69879.0,75517.0,2023,75740.0
New York Jets,1285954,701011.0,584943.0,83345.0,93689.0,80876.0,80461.0,76387.0,83068.0,,83367.0,75407.0,62383.0,70603.0,82973.0,74455.0,72956.0,65967.0,67470.0,67919.0,2023,64628.0
Philadelphia Eagles,1223746,559032.0,664714.0,64628.0,69879.0,65426.0,69879.0,74935.0,83068.0,69879.0,64653.0,69879.0,,73754.0,69879.0,69879.0,93752.0,68758.0,69879.0,69879.0,2023,75740.0
Pittsburgh Steelers,1146477,602796.0,543681.0,67679.0,67576.0,62541.0,71399.0,67272.0,,73471.0,67225.0,65969.0,67617.0,67919.0,65090.0,66436.0,66376.0,64171.0,66646.0,68735.0,2023,70355.0
San Francisco 49ers,1186315,573245.0,613070.0,67679.0,74742.0,71593.0,71521.0,71617.0,67431.0,66975.0,71655.0,,69271.0,71607.0,68702.0,69879.0,71816.0,63967.0,71812.0,64424.0,2023,71624.0
Seattle Seahawks,1193230,549886.0,643344.0,68683.0,66434.0,68699.0,78507.0,,66385.0,68781.0,68807.0,70753.0,68721.0,72704.0,68702.0,93367.0,71816.0,68758.0,60181.0,68735.0,2023,63197.0
Tampa Bay Buccaneers,1140061,510321.0,629740.0,66741.0,62976.0,65426.0,70003.0,,65854.0,62620.0,70416.0,70785.0,62725.0,71607.0,64407.0,62432.0,69496.0,77275.0,62547.0,65741.0,2023,69010.0
Tennessee Titans,1117370,580686.0,536684.0,70024.0,67438.0,67919.0,68951.0,65287.0,61011.0,,68008.0,65969.0,62725.0,67175.0,62493.0,62641.0,66068.0,66219.0,60181.0,71517.0,2023,63744.0
Washington Commanders,1175750,511606.0,664144.0,64693.0,76108.0,64291.0,69879.0,63727.0,69921.0,81671.0,64653.0,64628.0,68721.0,62714.0,93711.0,63459.0,,72035.0,67470.0,64424.0,2023,63645.0
Arizona Cardinals,1138411,575780.0,562631.0,70542.0,63331.0,63650.0,63286.0,71310.0,77773.0,64357.0,65629.0,64609.0,64030.0,,68649.0,66873.0,64533.0,64135.0,68804.0,73051.0,2024,63849.0
Atlanta Falcons,1185384,642432.0,542952.0,72291.0,69879.0,72441.0,72204.0,70016.0,70884.0,70691.0,62787.0,72665.0,70005.0,76545.0,,72139.0,67008.0,62364.0,70404.0,63480.0,2024,69581.0
Baltimore Ravens,1220990,568423.0,652567.0,73611.0,70762.0,93566.0,70636.0,66341.0,71316.0,64828.0,67431.0,71051.0,71439.0,67551.0,70240.0,71344.0,,77455.0,71313.0,71544.0,2024,70562.0
Buffalo Bills,1192970,565564.0,627406.0,70542.0,65601.0,70316.0,70636.0,71427.0,81118.0,70842.0,68704.0,70862.0,66474.0,71112.0,,70437.0,73493.0,65327.0,70725.0,70728.0,2024,64626.0
Carolina Panthers,1175655,640515.0,535140.0,70007.0,70145.0,62417.0,77258.0,59307.0,70884.0,63380.0,76135.0,70292.0,70132.0,,73216.0,69214.0,69879.0,70570.0,68804.0,64434.0,2024,69581.0
Chicago Bears,1076006,527841.0,548165.0,59403.0,71412.0,66624.0,59074.0,59307.0,61182.0,,64704.0,64609.0,58912.0,59419.0,57659.0,64275.0,71662.0,67017.0,56539.0,56346.0,2024,77862.0
Cincinnati Bengals,1191765,530355.0,661410.0,66214.0,73558.0,66207.0,77258.0,66341.0,78809.0,68143.0,67239.0,65962.0,71439.0,70240.0,,66112.0,92587.0,63745.0,65734.0,66546.0,2024,65631.0
Cleveland Browns,1134676,541808.0,592868.0,67431.0,60105.0,68016.0,62401.0,59030.0,69879.0,68143.0,67431.0,67431.0,,70006.0,67431.0,68306.0,66845.0,67983.0,65734.0,67942.0,2024,70562.0
Dallas Cowboys,1401575,836749.0,564826.0,67431.0,93691.0,93566.0,80425.0,67380.0,93644.0,,71521.0,72665.0,93644.0,92969.0,64955.0,92196.0,92587.0,70570.0,93103.0,69879.0,2024,91349.0
Denver Broncos,1142969,515265.0,627704.0,68714.0,74215.0,62738.0,82243.0,72825.0,70743.0,70008.0,76135.0,71051.0,73704.0,76545.0,62460.0,68306.0,,76496.0,70240.0,66546.0,2024,
Detroit Lions,1153330,584300.0,569030.0,66530.0,64160.0,63650.0,66658.0,,93644.0,66971.0,64316.0,78330.0,71512.0,64273.0,66696.0,64275.0,63987.0,65327.0,56539.0,71688.0,2024,64774.0
Green Bay Packers,1214251,702030.0,512221.0,47236.0,77827.0,67322.0,78335.0,72842.0,77773.0,78197.0,65618.0,78330.0,,59419.0,78222.0,77599.0,63987.0,68766.0,77885.0,67031.0,2024,77862.0
Houston Texans,1216430,570666.0,645764.0,65306.0,71412.0,66843.0,71115.0,71427.0,64628.0,78197.0,71380.0,79818.0,71512.0,92969.0,71055.0,62588.0,,71221.0,73600.0,71544.0,2024,61815.0
Indianapolis Colts,1161683,526138.0,635545.0,65306.0,77827.0,66624.0,66376.0,60214.0,64302.0,66299.0,71380.0,66954.0,66474.0,80582.0,66696.0,64626.0,,76496.0,65322.0,73164.0,2024,63041.0
Jacksonville Jaguars,1114472,526117.0,588355.0,65582.0,60105.0,70316.0,71115.0,60214.0,61182.0,86651.0,65618.0,69879.0,65695.0,64273.0,,62588.0,61644.0,63251.0,61323.0,61995.0,2024,63041.0
Kansas City Chiefs,1144982,588837.0,556145.0,73611.0,73558.0,72441.0,70240.0,73592.0,,71309.0,62533.0,73574.0,73704.0,71112.0,73216.0,73627.0,73571.0,67983.0,73600.0,67311.0,2024,
Las Vegas Raiders,1122807,497403.0,625404.0,70240.0,70762.0,62417.0,62401.0,72825.0,62553.0,73267.0,62533.0,65962.0,,65440.0,62460.0,73627.0,63250.0,62364.0,61323.0,70031.0,2024,61352.0
Los Angeles Chargers,1170832,559732.0,611100.0,70240.0,70145.0,66734.0,70240.0,,70743.0,64357.0,70240.0,67431.0,68796.0,70240.0,70240.0,72139.0,73571.0,69496.0,70240.0,64628.0,2024,61352.0
Los Angeles Rams,1124537,584264.0,540273.0,66530.0,63331.0,,59074.0,72842.0,,73267.0,72127.0,68632.0,72474.0,64628.0,74400.0,70006.0,73493.0,71201.0,76871.0,73051.0,2024,72610.0
Miami Dolphins,1153651,525150.0,628501.0,65582.0,65601.0,68658.0,65291.0,64628.0,,66299.0,65629.0,70862.0,72474.0,65440.0,65479.0,77599.0,65787.0,71221.0,66341.0,67942.0,2024,68818.0
Minnesota Vikings,1153509,596577.0,556932.0,81908.0,66741.0,66843.0,78335.0,61139.0,,66971.0,72127.0,66954.0,65695.0,67686.0,57659.0,66873.0,67008.0,67017.0,68748.0,67031.0,2024,64774.0
New England Patriots,1147581,517078.0,630503.0,66214.0,64686.0,80812.0,71042.0,64628.0,64628.0,86651.0,64628.0,66533.0,58912.0,64628.0,65479.0,64626.0,,64135.0,70725.0,64628.0,2024,64626.0
New Orleans Saints,1227161,630113.0,597048.0,70007.0,93691.0,70006.0,72204.0,73592.0,70041.0,70008.0,70240.0,70292.0,70005.0,70006.0,,70006.0,76143.0,70003.0,77885.0,70031.0,2024,63001.0
New York Giants,1273642,706231.0,567411.0,81908.0,61841.0,68016.0,80425.0,68306.0,78809.0,82779.0,66637.0,77994.0,70132.0,,77554.0,92196.0,76143.0,77455.0,70404.0,73164.0,2024,69879.0
New York Jets,1224693,631346.0,593347.0,71319.0,65509.0,80812.0,82243.0,61139.0,81118.0,66956.0,64628.0,79818.0,64030.0,80582.0,,81084.0,65787.0,63251.0,76871.0,70728.0,2024,68818.0
Philadelphia Eagles,1194031,606268.0,587763.0,47236.0,69879.0,70006.0,64223.0,,69879.0,82779.0,67239.0,69879.0,93644.0,69879.0,74400.0,71344.0,69879.0,69879.0,64128.0,69879.0,2024,69879.0
Pittsburgh Steelers,1151407,535045.0,616362.0,72291.0,74215.0,66734.0,66376.0,67380.0,62553.0,66956.0,66637.0,,66192.0,67551.0,67431.0,66112.0,66845.0,69879.0,71313.0,67311.0,2024,65631.0
San Francisco 49ers,1122075,642803.0,479272.0,71319.0,66741.0,,71042.0,71310.0,68768.0,71309.0,71521.0,,64914.0,71751.0,78222.0,70437.0,71662.0,71201.0,66341.0,71688.0,2024,63849.0
Seattle Seahawks,1166304,617945.0,548359.0,68714.0,64686.0,68658.0,66658.0,68306.0,68768.0,70691.0,68704.0,68632.0,,71751.0,68649.0,81084.0,64533.0,68766.0,68748.0,56346.0,2024,72610.0
Tampa Bay Buccaneers,1160353,573195.0,587158.0,63020.0,64160.0,62738.0,64223.0,70016.0,70041.0,64828.0,62787.0,73574.0,64914.0,,77554.0,69214.0,63250.0,69496.0,93103.0,64434.0,2024,63001.0
Tennessee Titans,1108720,518556.0,590164.0,59403.0,65509.0,67322.0,65291.0,,64302.0,70842.0,64316.0,66533.0,68796.0,67686.0,71055.0,63144.0,61644.0,63745.0,65322.0,61995.0,2024,61815.0
Washington Commanders,1143908,570854.0,573054.0,63020.0,61841.0,66207.0,63286.0,59030.0,71316.0,63380.0,64704.0,77994.0,66192.0,69879.0,64955.0,63144.0,,70003.0,64128.0,63480.0,2024,91349.0
