Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,1018127,496111.0,522016.0,61613,66515,62163,61845.0,68337.0,66801.0,62359.0,61923.0,,76712.0,62435.0,25343.0,77234,62014,72084,61759,68990
Atlanta Falcons,1119143,583184.0,535959.0,69696,72528,74457,71985.0,64781.0,72665.0,72756.0,,62386.0,62144.0,74447.0,73017.0,72262,77329,72084,73722,52884
Baltimore Ravens,1053383,563451.0,489932.0,70591,50018,70156,62030.0,67431.0,64441.0,70639.0,73843.0,70997.0,,70077.0,70035.0,72262,74336,70031,25571,70925
Buffalo Bills,1072899,519695.0,553204.0,70591,69187,66800,78312.0,68202.0,71638.0,56848.0,70109.0,68749.0,77982.0,,57799.0,65155,59119,59110,65878,67420
Carolina Panthers,1102756,590182.0,512574.0,74532,72528,72161,,74221.0,60482.0,69696.0,73843.0,73513.0,62881.0,61999.0,74002.0,52568,59392,74188,73722,73028
Chicago Bears,1045568,490750.0,554818.0,78282,57960,62163,61893.0,,65791.0,62389.0,61397.0,68749.0,61393.0,61651.0,65684.0,76465,61695,62372,70806,66878
Cincinnati Bengals,911289,406028.0,505261.0,58699,50018,72161,71985.0,52708.0,60594.0,75676.0,45134.0,,52492.0,70077.0,56122.0,44392,25358,44568,67431,63874
Cleveland Browns,1045441,526122.0,519319.0,67431,73086,67431,53387.0,67431.0,67431.0,53682.0,63780.0,67431.0,62144.0,,56122.0,71741,59392,76596,67431,70925
Dallas Cowboys,1303393,732958.0,570435.0,74532,90512,69047,90155.0,72008.0,90767.0,66301.0,,90466.0,69696.0,74447.0,92076.0,93004,93127,66654,92851,77750
Denver Broncos,1092324,611571.0,480753.0,76761,76696,70156,76656.0,77982.0,76109.0,62359.0,77103.0,76270.0,,25462.0,76536.0,44392,69449,76596,53850,75947
Detroit Lions,1054328,502061.0,552267.0,61352,70164,61769,90155.0,63405.0,,65265.0,65237.0,66825.0,61393.0,61999.0,65684.0,60974,62014,59110,61641,77341
Green Bay Packers,1163842,622677.0,541165.0,78282,78461,59827,78312.0,63405.0,77642.0,,75822.0,65878.0,78076.0,69007.0,66872.0,77234,77329,62372,77982,77341
Houston Texans,1112480,574439.0,538041.0,65878,62372,71838,57716.0,72008.0,71638.0,66534.0,71726.0,76270.0,,61593.0,71826.0,71741,71814,77982,69696,71848
Indianapolis Colts,1006361,473598.0,532763.0,58699,57013,69696,57716.0,65878.0,77982.0,56848.0,54372.0,,57473.0,57401.0,57069.0,67030,71814,66654,61738,68978
Jacksonville Jaguars,1109899,552589.0,557310.0,77992,68527,64015,65353.0,75289.0,90767.0,66534.0,85870.0,,57473.0,67683.0,57799.0,67030,60344,67577,65798,71848
Kansas City Chiefs,1107376,607780.0,499596.0,25351,63956,76023,76656.0,75289.0,65878.0,75676.0,77103.0,67431.0,76712.0,77002.0,,54255,74336,75091,69067,77550
Los Angeles Chargers,803556,262145.0,541411.0,25351,69187,68947,25397.0,25362.0,67431.0,84301.0,,68989.0,54750.0,25462.0,25343.0,61069,25358,75091,25571,75947
Los Angeles Rams,1102409,579439.0,522970.0,53857,66515,68947,72027.0,68893.0,76109.0,66597.0,75822.0,73086.0,72755.0,77002.0,,60974,61695,74210,61759,72161
Miami Dolphins,1062180,524480.0,537700.0,65184,77982,65667,65878.0,52708.0,65791.0,65265.0,71726.0,65533.0,78076.0,,57069.0,65155,66087,66841,65798,67420
Minnesota Vikings,1090834,534491.0,556343.0,66673,78461,66800,72027.0,69696.0,66801.0,77982.0,66801.0,66825.0,,61651.0,66872.0,65878,69007,66841,61641,66878
New England Patriots,1068530,527024.0,541506.0,65878,68527,61769,65878.0,65878.0,65878.0,62389.0,70109.0,65878.0,69363.0,,77982.0,65878,66087,65280,65878,65878
New Orleans Saints,1147700,584411.0,563289.0,73038,73086,74457,78213.0,73028.0,,70639.0,66801.0,73086.0,52492.0,73042.0,73017.0,93004,53495,74188,73086,73028
New York Giants,1183132,615525.0,567607.0,77992,90512,71838,78213.0,74221.0,77167.0,72756.0,77537.0,,69409.0,75863.0,69696.0,76465,57437,74538,61738,77750
New York Jets,1130823,623856.0,506967.0,61352,77982,67431,65353.0,77982.0,77982.0,77982.0,61397.0,65533.0,77982.0,,77982.0,60904,59119,77982,77982,65878
Oakland Raiders,955258,463353.0,491905.0,53857,76696,65667,53387.0,25362.0,84922.0,,54372.0,69592.0,54750.0,62435.0,70035.0,54255,53960,44568,53850,77550
Philadelphia Eagles,1149737,557568.0,592169.0,69696,56552,69696,69013.0,69696.0,77167.0,69696.0,85870.0,,69696.0,73042.0,69696.0,69696,93127,74210,69696,63188
Pittsburgh Steelers,1040509,507651.0,532858.0,67431,63956,62571,62030.0,64781.0,60594.0,,63780.0,70997.0,62881.0,67683.0,76536.0,61069,53960,65280,73086,63874
San Francisco 49ers,1052454,553190.0,499264.0,66673,70164,76023,25397.0,68337.0,77642.0,66597.0,61923.0,69592.0,69409.0,,50436.0,69009,69449,68836,70806,72161
Seattle Seahawks,1114327,552009.0,562318.0,76761,57960,69047,61845.0,68893.0,84922.0,,65237.0,68989.0,72755.0,69007.0,74002.0,69009,69007,68836,69067,68990
Tampa Bay Buccaneers,999843,434855.0,564988.0,73038,56552,62571,61893.0,,72665.0,53682.0,45134.0,73513.0,52667.0,75863.0,50436.0,52568,53495,70031,92851,52884
Tennessee Titans,1092094,516161.0,575933.0,65184,62372,64015,69013.0,68202.0,64441.0,84301.0,,90466.0,69363.0,57401.0,71826.0,60904,60344,74538,60746,68978
Washington Redskins,1043167,488227.0,554940.0,61613,57013,59827,,73028.0,60482.0,66301.0,77537.0,62386.0,52667.0,61593.0,92076.0,69696,57437,67577,60746,63188
