venue_raw,venue_clean,home_team_abbr,home_stadium_venue,weather_match_venue,is_neutral_site,is_international,game_city,game_country
Twickenham Stadium,Twickenham Stadium,LAR,SoFi Stadium,Twickenham Stadium,True,False,,United States
U.S. Bank Stadium,U.S. Bank Stadium,MIN,U.S. Bank Stadium,U.S. Bank Stadium,False,False,,United States
U.S. Bank Stadium,U.S. Bank Stadium,NE,Gillette Stadium,U.S. Bank Stadium,True,False,,United States
Wembley Stadium,Wembley Stadium,CIN,Paycor Stadium,Wembley Stadium,True,True,London,United Kingdom
Wembley Stadium,Wembley Stadium,JAX,EverBank Stadium,Wembley Stadium,True,True,London,United Kingdom
Wembley Stadium,Wembley Stadium,KC,Arrowhead Stadium,Wembley Stadium,True,True,London,United Kingdom
Wembley Stadium,Wembley Stadium,LAC,SoFi Stadium,Wembley Stadium,True,True,London,United Kingdom
Wembley Stadium,Wembley Stadium,LAR,SoFi Stadium,Wembley Stadium,True,True,London,United Kingdom
Wembley Stadium,Wembley Stadium,LV,Allegiant Stadium,Wembley Stadium,True,True,London,United Kingdom
Wembley Stadium,Wembley Stadium,MIA,Hard Rock Stadium,Wembley Stadium,True,True,London,United Kingdom
