model_name,k,train_mae,train_rmse,train_r2,validation_mae,validation_rmse,validation_r2
knn_regressor,11,5951.954436867481,8285.16875135668,0.17305216855602934,5398.315824915825,7277.116689965578,-0.13211268111014118
knn_regressor,9,5931.411318150448,8175.26020907592,0.1948467228652737,5675.453497942386,7561.060390162574,-0.22218342806109348
knn_regressor,7,5935.769435533411,8143.704688793057,0.20105031660520611,5657.438095238096,7579.7207536359165,-0.22822346170687924
knn_regressor,5,5815.143526039178,7998.341554343196,0.2293178726450178,5923.5718518518515,7758.306991300309,-0.2867817649194475
knn_regressor,3,5312.035674470458,7311.708856802663,0.35595950422194866,6237.134567901235,8288.855777736468,-0.46879147603925087
