model_name,data_split,hidden_layer_sizes,alpha,validation_residual_std,MAE,RMSE,R2
neural_network,train,"(16, 8)",0.0001,7517.183596404585,6321.0620713029275,8852.347704690665,0.055955810634712444
neural_network,validation,"(16, 8)",0.0001,7517.183596404585,5348.393696781843,7602.513940985296,-0.23562141760548982
neural_network,test,"(16, 8)",0.0001,7517.183596404585,5505.486833852297,7516.97788744943,-0.1316998234409581
