game_id,season,week,game_type,attendance,temperature,precipitation,wind_speed,home_team_win_pct,away_team_win_pct,weekend_flag,holiday_flag,indoor_flag,holiday_before_flag,holiday_after_flag,holiday_adjacent_flag,divisional_game_flag,rivalry_flag,primetime_flag,week_of_season,month,home_rest_days,away_rest_days,weather_condition,severe_weather_flag,home_prior_season_win_pct,away_prior_season_win_pct,neutral_site_flag,international_flag
2015_REG_01_BAL_DEN_20150913,2015,1,REG,76798.0,71.2,0.0,9.4,,,True,False,False,False,False,False,False,False,False,1,9,,,WMO_3,False,,,False,False
2015_REG_01_CAR_JAX_20150913,2015,1,REG,60733.0,74.9,0.024,6.3,,,True,False,False,False,False,False,False,False,False,1,9,,,WMO_51|PRECIP,False,,,False,False
2015_REG_01_CIN_LV_20150913,2015,1,REG,54500.0,69.7,0.0,9.6,,,True,False,False,False,False,False,False,False,False,1,9,,,WMO_3,False,,,False,False
2015_REG_01_CLE_NYJ_20150913,2015,1,REG,78160.0,68.4,0.35,9.9,,,True,False,False,False,False,False,False,False,False,1,9,,,WMO_63|PRECIP,False,,,False,False
2015_REG_01_DET_LAC_20150913,2015,1,REG,66093.0,78.4,0.0,10.4,,,True,False,False,False,False,False,False,False,False,1,9,,,WMO_0,False,,,False,False
2015_REG_01_GB_CHI_20150913,2015,1,REG,62442.0,58.9,0.0,7.7,,,True,False,False,False,False,False,False,False,False,1,9,,,WMO_2,False,,,False,False
2015_REG_01_IND_BUF_20150913,2015,1,REG,70319.0,54.6,0.839,13.7,,,True,False,False,False,False,False,False,False,False,1,9,,,WMO_61|PRECIP,True,,,False,False
2015_REG_01_KC_HOU_20150913,2015,1,REG,71776.0,,,,,,True,False,True,False,False,False,False,False,False,1,9,,,,False,,,False,False
2015_REG_01_MIA_WSH_20150913,2015,1,REG,76512.0,65.2,0.043,10.4,,,True,False,False,False,False,False,False,False,False,1,9,,,WMO_55|PRECIP,False,,,False,False
2015_REG_01_MIN_SF_20150914,2015,1,REG,70499.0,66.6,0.004,9.9,,,False,False,False,False,False,False,False,False,False,1,9,,,WMO_51|PRECIP,False,,,False,False
2015_REG_01_NO_ARI_20150913,2015,1,REG,62903.0,,,,,,True,False,True,False,False,False,False,False,False,1,9,,,,False,,,False,False
2015_REG_01_NYG_DAL_20150913,2015,1,REG,93579.0,,,,,,True,False,True,False,False,False,False,False,False,1,9,,,,False,,,False,False
2015_REG_01_PHI_ATL_20150914,2015,1,REG,70516.0,,,,,,False,False,True,False,False,False,False,False,False,1,9,,,,False,,,False,False
2015_REG_01_PIT_NE_20150910,2015,1,REG,66829.0,72.5,0.488,9.6,,,False,False,False,False,False,False,False,False,False,1,9,,,WMO_61|PRECIP,False,,,False,False
2015_REG_01_SEA_LAR_20150913,2015,1,REG,51792.0,,,,,,True,False,True,False,False,False,False,False,False,1,9,,,,False,,,False,False
2015_REG_01_TEN_TB_20150913,2015,1,REG,63945.0,78.2,0.339,8.7,,,True,False,False,False,False,False,False,False,False,1,9,,,WMO_61|PRECIP,False,,,False,False
2015_REG_02_ARI_CHI_20150920,2015,2,REG,62351.0,62.8,0.0,6.1,0.0,1.0,True,False,False,False,False,False,False,False,False,2,9,6.0,6.0,WMO_2,False,,,False,False
2015_REG_02_ATL_NYG_20150920,2015,2,REG,77678.0,70.0,0.0,11.4,0.0,1.0,True,False,False,False,False,False,False,False,False,2,9,6.0,5.0,WMO_2,False,,,False,False
2015_REG_02_BAL_LV_20150920,2015,2,REG,53500.0,77.7,0.0,5.1,0.0,0.0,True,False,False,False,False,False,False,False,False,2,9,6.0,6.0,WMO_0,False,,,False,False
2015_REG_02_DAL_PHI_20150920,2015,2,REG,69296.0,71.6,0.0,10.8,0.0,1.0,True,False,False,False,False,False,False,False,False,2,9,5.0,6.0,WMO_2,False,,,False,False
2015_REG_02_DEN_KC_20150917,2015,2,REG,76404.0,80.0,0.0,16.9,1.0,1.0,False,False,False,False,False,False,False,False,False,2,9,3.0,3.0,WMO_3,False,,,False,False
2015_REG_02_DET_MIN_20150920,2015,2,REG,52319.0,60.8,0.008,13.0,0.0,0.0,True,False,False,False,False,False,False,False,False,2,9,5.0,6.0,WMO_51|PRECIP,False,,,False,False
2015_REG_02_HOU_CAR_20150920,2015,2,REG,73254.0,77.5,0.0,5.2,1.0,0.0,True,False,False,False,False,False,False,False,False,2,9,6.0,6.0,WMO_3,False,,,False,False
2015_REG_02_LAC_CIN_20150920,2015,2,REG,57579.0,65.3,0.0,9.1,1.0,1.0,True,False,False,False,False,False,False,False,False,2,9,6.0,6.0,WMO_3,False,,,False,False
2015_REG_02_LAR_WSH_20150920,2015,2,REG,72460.0,71.3,0.173,11.7,0.0,1.0,True,False,False,False,False,False,False,False,False,2,9,6.0,6.0,WMO_61|PRECIP,False,,,False,False
2015_REG_02_MIA_JAX_20150920,2015,2,REG,65443.0,78.2,0.008,5.2,0.0,1.0,True,False,False,False,False,False,False,False,False,2,9,6.0,6.0,WMO_51|PRECIP,False,,,False,False
