Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Arizona Cardinals,1140669,508197.0,632472.0,70006,64003,70414,65016,64280.0,65523.0,64810.0,,92211.0,68723.0,65032.0,62413.0,61103.0,61970.0,71086,60673,61402,72004
Atlanta Falcons,1176441,564798.0,611643.0,71610,66859,71129,71492,,72067.0,71217.0,71344.0,64628.0,72203.0,70739.0,70005.0,70012.0,68721.0,64917,60673,69313,69512
Baltimore Ravens,1182226,632654.0,549572.0,70745,70487,70642,73552,70077.0,70055.0,,70045.0,66132.0,66946.0,64230.0,70029.0,70066.0,70544.0,64907,70709,77660,65400
Buffalo Bills,1199100,637896.0,561204.0,70745,80875,70641,71017,70802.0,72067.0,,73505.0,71024.0,66030.0,71005.0,70451.0,66068.0,70613.0,64628,67580,71105,70944
Carolina Panthers,1194070,579343.0,614727.0,59957,64003,71129,64628,72301.0,71619.0,71047.0,73505.0,77864.0,72804.0,70739.0,71337.0,71292.0,,70070,73530,73163,65082
Chicago Bears,1009625,465014.0,544611.0,58742,64201,58389,62642,,64457.0,58102.0,70045.0,66264.0,58884.0,66952.0,59658.0,,78214.0,54051,60152,71836,57036
Cincinnati Bengals,1144396,584543.0,559853.0,65599,65871,66792,76489,66115.0,78277.0,66569.0,65526.0,66264.0,,66132.0,65659.0,70066.0,70613.0,64907,65885,61402,62230
Cleveland Browns,1099436,581941.0,517495.0,65599,70487,65470,64494,61082.0,66738.0,63762.0,64628.0,,72623.0,64230.0,62244.0,64042.0,62982.0,54051,67580,67194,62230
Dallas Cowboys,1367559,743934.0,623625.0,69879,92781,58389,93353,81738.0,71619.0,93051.0,76545.0,92211.0,,62625.0,93068.0,93739.0,64028.0,92991,92740,64407,74395
Denver Broncos,1222301,687500.0,534801.0,75706,63910,70740,76489,69879.0,61155.0,76830.0,76545.0,70471.0,74692.0,76750.0,,63159.0,62442.0,76809,76858,73045,76821
Detroit Lions,1137218,516719.0,620499.0,77239,64201,70642,64494,66115.0,73543.0,64656.0,,64642.0,64470.0,69879.0,64238.0,66662.0,64028.0,74701,63798,66874,57036
Green Bay Packers,1266474,622788.0,643686.0,77239,77289,65470,93353,,78277.0,64810.0,67386.0,77864.0,78254.0,82438.0,77991.0,66662.0,78214.0,76809,60152,77660,66606
