Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Houston Texans,1174260,637391.0,536869.0,71346,71580,58161,70398,70077.0,,68632.0,70581.0,70471.0,70531.0,55999.0,70451.0,65977.0,73611.0,71086,71160,73066,71133
Indianapolis Colts,1133795,594794.0,539001.0,64065,63910,56361,71257,64955.0,65523.0,71124.0,65816.0,66677.0,72203.0,,73611.0,65977.0,60067.0,68771,66265,66080,71133
Jacksonville Jaguars,1108439,580013.0,528426.0,59957,65871,58161,70495,69329.0,61056.0,86152.0,,62080.0,70531.0,58461.0,62413.0,54098.0,60067.0,60815,76858,66080,66015
Kansas City Chiefs,1223837,661146.0,562691.0,47627,73558,80690,73552,69329.0,73543.0,73584.0,73569.0,71024.0,,76750.0,73611.0,93739.0,73611.0,73073,61752,73045,61780
Las Vegas Raiders,1114803,560341.0,554462.0,64628,62526,64546,62642,64955.0,61981.0,73584.0,,62080.0,74692.0,62625.0,62244.0,71018.0,62442.0,69879,71160,62021,61780
Los Angeles Chargers,1189864,620105.0,569759.0,47627,62526,70740,81954,71021.0,65592.0,71124.0,71094.0,58592.0,72174.0,58461.0,,71018.0,72241.0,73073,92740,73066,76821
Los Angeles Rams,1213705,585883.0,627822.0,71346,59069,69879,71257,73652.0,70055.0,86152.0,,72055.0,71239.0,75323.0,75545.0,71292.0,61970.0,74701,68853,69313,72004
Miami Dolphins,1145135,604106.0,541029.0,64065,65593,70641,65848,72301.0,65592.0,63762.0,71344.0,66132.0,66030.0,78610.0,,63864.0,68625.0,65663,65885,66552,64628
Minnesota Vikings,1181097,534738.0,646359.0,58742,66859,66792,74512,61082.0,,66899.0,71094.0,64642.0,66946.0,66952.0,77991.0,68790.0,66810.0,92991,76515,66874,66606
New England Patriots,1128277,581652.0,546625.0,64628,65593,64628,64628,70802.0,70042.0,67410.0,64628.0,64628.0,65492.0,64628.0,65659.0,64628.0,,64628,70709,70918,64628
New Orleans Saints,1155637,560290.0,595347.0,70006,70078,68599,71017,70008.0,70042.0,58102.0,70038.0,72055.0,72804.0,,70005.0,63864.0,63125.0,70070,70043,56269,69512
New York Giants,1262108,638295.0,623813.0,64544,92781,80690,81954,70008.0,81564.0,76830.0,69879.0,83258.0,58884.0,82438.0,64238.0,64628.0,,77481,76515,62021,74395
New York Jets,1190951,660246.0,530705.0,83253,80875,62872,65848,81738.0,61155.0,71047.0,65526.0,,72623.0,64628.0,70029.0,70012.0,68625.0,60815,70043,70918,70944
Philadelphia Eagles,1154546,489153.0,665393.0,69879,73558,69879,64122,69879.0,81564.0,66899.0,69879.0,,78254.0,69879.0,93068.0,,72241.0,69879,64582,71105,69879
Pittsburgh Steelers,1152741,604923.0,547818.0,83253,66347,64628,74512,,66738.0,66569.0,67386.0,66677.0,72174.0,66132.0,59658.0,66068.0,70544.0,65663,63798,67194,65400
San Francisco 49ers,1193487,569416.0,624071.0,68752,70078,70414,70495,73652.0,62411.0,71217.0,70581.0,83258.0,71239.0,65032.0,71337.0,64042.0,,71042,66265,71836,71836
Seattle Seahawks,1156070,549924.0,606146.0,68752,66347,68599,65016,68804.0,61056.0,68632.0,,64197.0,68723.0,75323.0,60487.0,68790.0,68721.0,68771,68853,73163,71836
Tampa Bay Buccaneers,1142444,509124.0,633320.0,71610,71580,62872,64122,68804.0,62411.0,64656.0,70038.0,,65492.0,71005.0,75545.0,61103.0,63125.0,64917,73530,66552,65082
Tennessee Titans,1068257,530037.0,538220.0,75706,59069,56361,70398,64280.0,61981.0,67410.0,65816.0,58592.0,,55999.0,60487.0,54098.0,62982.0,71042,61752,56269,66015
Washington Commanders,1193564,514362.0,679202.0,64544,77289,64546,71492,71021.0,64457.0,93051.0,73569.0,64197.0,64470.0,78610.0,,63159.0,66810.0,77481,64582,64407,69879
