Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,39894,9600.0,30294.0,,,,5120.0,,25174.0,1200.0,,4200.0,4200.0,,,,,,,
Atlanta Falcons,113084,50657.0,62427.0,,21708.0,,,6656.0,,7796.0,5240.0,7665.0,,6000.0,9124.0,8713.0,,10703.0,13470.0,16009.0
Baltimore Ravens,39018,4345.0,34673.0,,,,,,,,4345.0,12200.0,,,,,11974.0,,,10499.0
Buffalo Bills,23678,,23678.0,,11075.0,,,8403.0,,,,,4200.0,,,,,,,
Carolina Panthers,55958,34229.0,21729.0,,,,5120.0,6656.0,5240.0,3000.0,5240.0,12073.0,5815.0,5546.0,,,5768.0,,,1500.0
Chicago Bears,36556,,36556.0,,,,,,5240.0,,,13871.0,,,,,,,17445.0,
Cincinnati Bengals,116248,66965.0,49283.0,,6000.0,,6243.0,,12453.0,9732.0,9712.0,,5909.0,,10208.0,12577.0,10322.0,10249.0,12344.0,10499.0
Cleveland Browns,150365,80440.0,69925.0,,6000.0,6000.0,25021.0,11759.0,5260.0,9732.0,10972.0,,10613.0,11133.0,15926.0,13986.0,11974.0,,,11989.0
Dallas Cowboys,229343,219021.0,10322.0,,21708.0,,25021.0,25147.0,25174.0,,,31700.0,,,30048.0,,10322.0,30092.0,30131.0,
Denver Broncos,47133,21122.0,26011.0,,,5226.0,,,,5314.0,5231.0,7665.0,,5351.0,,12578.0,5768.0,,,
Detroit Lions,41652,,41652.0,,,,,,14513.0,7796.0,,,,5546.0,,,,13797.0,,
Green Bay Packers,41401,,41401.0,,,748.0,,,15540.0,12618.0,,,,12495.0,,,,,,
Houston Texans,149134,86800.0,62334.0,15895.0,,,12102.0,12413.0,10166.0,12618.0,,15668.0,10613.0,12503.0,,12316.0,,9992.0,12344.0,12504.0
Indianapolis Colts,131684,79560.0,52124.0,14100.0,2500.0,7480.0,,11759.0,12453.0,,,12200.0,13949.0,12495.0,12464.0,12316.0,,9992.0,,9976.0
Jacksonville Jaguars,155987,127355.0,28632.0,14100.0,,16563.0,6243.0,12413.0,14513.0,,,15668.0,,17244.0,15926.0,,15896.0,,17445.0,9976.0
Kansas City Chiefs,142549,105228.0,37321.0,15895.0,,,12729.0,13311.0,,5314.0,11932.0,12073.0,,,15950.0,12578.0,13057.0,3000.0,13470.0,13240.0
Las Vegas Raiders,33407,,33407.0,,,,,13311.0,,,10972.0,,,,9124.0,,,,,
Los Angeles Chargers,38354,,38354.0,,,,6383.0,749.0,,,5231.0,,12751.0,,,,,,,13240.0
Los Angeles Rams,28127,,28127.0,,,,,,,,12397.0,,,15730.0,,,,,,
Miami Dolphins,124466,98352.0,26114.0,,11075.0,16563.0,12369.0,,10772.0,,12397.0,4200.0,12751.0,5351.0,,12577.0,13057.0,13354.0,,
Minnesota Vikings,33633,,33633.0,,2500.0,,12102.0,,,,,,,,,,16031.0,,3000.0,
New England Patriots,38586,,38586.0,,,,12729.0,,,,,,,12503.0,,,,13354.0,,
New Orleans Saints,48429,22476.0,25953.0,,,748.0,,749.0,,3000.0,,15740.0,5979.0,6000.0,,8713.0,,3000.0,3000.0,1500.0
New York Giants,38355,,38355.0,,,,,25147.0,,,,3000.0,,,10208.0,,,,,
New York Jets,30184,,30184.0,,,7480.0,,,10772.0,,11932.0,,,,,,,,,
Philadelphia Eagles,45972,,45972.0,,,,,4708.0,,,,,,11133.0,,,,,30131.0,
Pittsburgh Steelers,101759,15877.0,85882.0,,,,,4708.0,5260.0,10355.0,4345.0,31700.0,5909.0,17244.0,,,,10249.0,,11989.0
San Francisco 49ers,36071,,36071.0,,,,,,,,,,5979.0,,,,,30092.0,,
Seattle Seahawks,13569,,13569.0,,,,12369.0,,,1200.0,,,,,,,,,,
Tampa Bay Buccaneers,123127,101383.0,21744.0,,,5226.0,6383.0,,15540.0,,,15740.0,5815.0,15730.0,15950.0,,16031.0,10703.0,,16009.0
Tennessee Titans,135103,84527.0,50576.0,,,,,8403.0,10166.0,10355.0,9712.0,13871.0,13949.0,,12464.0,13986.0,15896.0,13797.0,,12504.0
Washington Football Team,39048,3000.0,36048.0,,,6000.0,,,,,,3000.0,,,30048.0,,,,,
