Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Arizona Cardinals,1090961,500981.0,589980.0,67216,60115,58012,70003,62716,67431.0,60297.0,63696.0,59012.0,62400.0,68833.0,,60803.0,63999.0,45211.0,63900,93459,63858
Atlanta Falcons,1173982,540764.0,633218.0,68633,63694,75307,68333,60589,,62739.0,68583.0,69170.0,93436.0,68286.0,60031.0,69366.0,72243.0,71650.0,68638,64948,68336
Baltimore Ravens,1141157,634840.0,506317.0,61756,70417,50788,76490,70510,70704.0,70659.0,,70599.0,65948.0,60679.0,70355.0,59303.0,67431.0,70815.0,63922,70328,70453
Buffalo Bills,1093983,610352.0,483631.0,69787,65040,68434,68087,73389,69419.0,,69355.0,63110.0,77625.0,69866.0,69170.0,69694.0,,65398.0,65878,64948,64783
Carolina Panthers,1202133,575249.0,626884.0,70211,70675,68320,93262,72545,72104.0,71889.0,68583.0,72203.0,62400.0,73350.0,62389.0,,72243.0,65398.0,71918,69170,65473
Chicago Bears,1079841,486675.0,593166.0,70445,60840,67431,61468,59122,62332.0,65635.0,60877.0,60788.0,,60679.0,56355.0,60803.0,78273.0,60082.0,68492,59594,66625
Cincinnati Bengals,1056115,542929.0,513186.0,56525,60840,58076,63198,64195,50831.0,70659.0,67503.0,65451.0,,61712.0,63238.0,51414.0,50481.0,76134.0,63922,64505,67431
Cleveland Browns,1092573,539448.0,553125.0,72973,67431,67431,66703,70240,67431.0,67431.0,67431.0,65451.0,65878.0,67431.0,70355.0,,67431.0,,77901,63624,67431
Dallas Cowboys,1366866,747368.0,619498.0,65566,70240,93267,93262,93476,65878.0,,66633.0,93503.0,93436.0,73494.0,93483.0,69170.0,61308.0,77413.0,93482,93459,69796
Denver Broncos,1243881,686129.0,557752.0,74119,58461,75882,76490,59841,76854.0,67431.0,75973.0,93503.0,76766.0,,75807.0,73185.0,76211.0,76134.0,60972,70240,76012
Detroit Lions,1027002,412177.0,614825.0,59374,77240,50788,61468,66538,50831.0,70540.0,47192.0,,58716.0,67431.0,56355.0,45691.0,76211.0,45211.0,68638,68043,56735
Green Bay Packers,1187232,623929.0,563303.0,35242,77240,69853,78281,64195,62332.0,78219.0,63696.0,73476.0,78235.0,66959.0,77948.0,,78273.0,70815.0,77901,77832,56735
Houston Texans,1114558,601305.0,513253.0,68105,67431,68320,68087,68450,57947.0,60297.0,66013.0,60232.0,,67395.0,65120.0,65291.0,67610.0,60252.0,65674,71612,66722
Indianapolis Colts,1081420,562276.0,519144.0,63347,63076,67914,64571,70510,57947.0,56576.0,59175.0,59593.0,60622.0,69866.0,66140.0,65291.0,,66391.0,63900,65985,60516
Jacksonville Jaguars,1070491,539716.0,530775.0,68105,58461,58012,63198,58282,60784.0,,67243.0,63110.0,60622.0,60268.0,60031.0,70801.0,67808.0,60252.0,67120,65878,60516
Kansas City Chiefs,1192945,659044.0,533901.0,72973,70417,72980,69796,73389,51322.0,69484.0,72898.0,73476.0,62125.0,73494.0,,73185.0,73278.0,70240.0,73371,64505,76012
Las Vegas Raiders,1068732,550673.0,518059.0,61756,63707,59311,70240,59122,76854.0,62000.0,,74512.0,62125.0,61712.0,93483.0,61607.0,73278.0,,60972,65985,62068
Los Angeles Chargers,1153356,632160.0,521196.0,52753,70240,72980,70240,70240,70704.0,,70240.0,69796.0,70240.0,70240.0,75807.0,51414.0,70240.0,70240.0,65674,70240,62068
Los Angeles Rams,1187786,572791.0,614995.0,70445,63076,73205,70003,68747,73920.0,70540.0,66013.0,71785.0,64256.0,,77948.0,70801.0,63999.0,71565.0,66708,70328,74447
Miami Dolphins,1110828,579366.0,531462.0,65878,65040,59311,64571,65570,60784.0,62739.0,69355.0,60232.0,65948.0,72303.0,62389.0,65898.0,,66035.0,69170,69091,66514
Minnesota Vikings,1118294,533613.0,584681.0,56525,60115,66729,66703,66538,72104.0,,66633.0,70599.0,70240.0,66959.0,71493.0,45691.0,66718.0,60082.0,66708,77832,66625
New England Patriots,1150306,592902.0,557404.0,65878,75626,65878,65878,68450,65878.0,65878.0,70240.0,72203.0,65878.0,68286.0,65878.0,69694.0,,66391.0,65878,65878,66514
New Orleans Saints,1117104,519432.0,597672.0,35242,70675,65878,69170,50137,,68563.0,69170.0,69170.0,69414.0,69796.0,69170.0,69170.0,69129.0,65744.0,69170,69170,68336
New York Giants,1207885,591052.0,616833.0,74119,50118,75307,69170,93476,73920.0,71889.0,72898.0,74512.0,,65643.0,73969.0,65898.0,70240.0,77413.0,69796,59594,69923
New York Jets,1173183,645092.0,528091.0,70211,75626,75882,70232,60589,,65878.0,67503.0,59593.0,77625.0,72303.0,65120.0,73311.0,69129.0,66035.0,67120,72243,64783
Philadelphia Eagles,1177614,558368.0,619246.0,68633,69796,93267,69796,72545,69796.0,62000.0,47192.0,69796.0,76766.0,69796.0,73969.0,73311.0,,69796.0,69796,51563,69796
Pittsburgh Steelers,1103916,544397.0,559519.0,69787,63707,58076,78281,59841,60821.0,,67431.0,60788.0,58716.0,70240.0,63238.0,59303.0,66718.0,59521.0,73371,63624,70453
San Francisco 49ers,1109442,533364.0,576078.0,59374,69796,69853,68912,62716,,56576.0,60877.0,59012.0,64256.0,60268.0,71493.0,68758.0,50481.0,71650.0,69361,71612,74447
Seattle Seahawks,1141021,547264.0,593757.0,63347,68585,66729,68912,68747,60821.0,68563.0,67243.0,,78235.0,68833.0,52680.0,68758.0,67610.0,71565.0,68492,68043,63858
Tampa Bay Buccaneers,1067169,457325.0,609844.0,65566,63694,73205,65878,65570,69796.0,65635.0,69170.0,,52128.0,65643.0,66140.0,69366.0,,65744.0,71918,72243,65473
Tennessee Titans,1137282,617102.0,520180.0,67216,68585,67914,70232,58282,69419.0,69484.0,59175.0,71785.0,69414.0,67395.0,65878.0,,67808.0,59521.0,69361,69091,66722
Washington Football Team,1081126,422009.0,659117.0,52753,50118,68434,68333,50137,51322.0,78219.0,75973.0,,52128.0,73350.0,52680.0,61607.0,61308.0,69796.0,93482,51563,69923
