Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Arizona Cardinals,1113568,502912.0,610656.0,64693,62080,62915,71521,62651.0,71202.0,68781.0,63064,67919.0,62861.0,70247.0,62177,66436.0,,63967,59978,69879,63197
Atlanta Falcons,1176416,556828.0,619588.0,69597,69251,63803,85716,69461.0,69921.0,62620.0,68008,69715.0,62861.0,,70166,74455.0,69496.0,70301,69221,61752,70072
Baltimore Ravens,1170734,635380.0,535354.0,70136,66015,70038,67919,67272.0,61011.0,70989.0,63064,70753.0,70424.0,70997.0,70240,,70492.0,68021,71812,71196,70355
Buffalo Bills,1183200,626483.0,556717.0,83345,70772,64291,70881,61273.0,70515.0,64628.0,70416,66965.0,70318.0,70603.0,69879,,73639.0,70933,67678,70772,66292
Carolina Panthers,1163926,573086.0,590840.0,69597,72709,68699,72842,63648.0,65529.0,,71505,72301.0,61200.0,73543.0,62493,62432.0,70009.0,70301,70875,67233,69010
Chicago Bears,1111491,494157.0,617334.0,62456,62976,73562,62220,63727.0,62167.0,62199.0,70240,70006.0,61200.0,63873.0,66843,,62185.0,67919,59978,61752,78188
Cincinnati Bengals,1144696,594361.0,550335.0,67919,66015,65158,68951,62651.0,66385.0,,71655,66965.0,66526.0,70997.0,65090,67951.0,65981.0,66376,66646,73565,65865
Cleveland Browns,1168498,610295.0,558203.0,67919,67576,67919,67919,,67431.0,65552.0,68807,67919.0,70424.0,67919.0,76261,72887.0,67431.0,67919,70831,67919,65865
Dallas Cowboys,1378746,748755.0,629991.0,80809,93689,62915,93719,71617.0,70240.0,,93448,69879.0,93338.0,73543.0,93711,93367.0,93752.0,70933,66410,93731,63645
Denver Broncos,1226925,687498.0,539427.0,76299,76108,65522,62220,76387.0,73528.0,76880.0,76286,,70318.0,76848.0,76261,71670.0,70240.0,64500,76201,76228,61429
Detroit Lions,1170249,518741.0,651508.0,73522,66434,63803,78052,63648.0,65854.0,70989.0,66774,,70240.0,63873.0,66476,70003.0,62185.0,64500,66932,93731,63233
Green Bay Packers,1242403,622636.0,619767.0,62456,69251,78043,78052,62572.0,,76880.0,78113,77409.0,67617.0,77432.0,66476,78124.0,76637.0,77275,70875,67003,78188
Houston Texans,1184936,640742.0,544194.0,70136,71159,61466,71399,69461.0,71810.0,,71505,70785.0,66526.0,70247.0,71324,71670.0,72956.0,66219,70831,71517,65925
Indianapolis Colts,1113729,587393.0,526336.0,65749,71159,70038,65337,65287.0,64851.0,65552.0,65427,72301.0,50144.0,,64407,62641.0,65981.0,64171,69221,65538,65925
Jacksonville Jaguars,1150901,621599.0,529302.0,65749,69915,61466,85716,61273.0,64851.0,70009.0,67225,,69271.0,67175.0,71324,67951.0,67431.0,68021,62547,67233,63744
Kansas City Chiefs,1205847,638715.0,567132.0,73522,69915,73562,80461,67003.0,73528.0,73642.0,76286,50023.0,,73754.0,62441,78124.0,73639.0,64628,73480,73565,68274
Las Vegas Raiders,1111041,559713.0,551328.0,76299,70772,62541,70240,62572.0,61985.0,62199.0,66774,62082.0,62383.0,66026.0,62441,,62626.0,61654,73480,65538,61429
Los Angeles Chargers,1190939,627632.0,563307.0,70240,67438,66878,70240,,70240.0,73642.0,70240,75407.0,70240.0,77432.0,70240,64628.0,70240.0,61654,67678,76228,68274
Los Angeles Rams,1235049,585204.0,649845.0,68683,74742,65158,65337,74935.0,71202.0,73471.0,93448,77409.0,,72704.0,62177,72887.0,70492.0,72035,73228,75517,71624
Miami Dolphins,1136583,593304.0,543279.0,70240,64628,65522,70881,65654.0,65529.0,69879.0,65836,50023.0,,66026.0,82973,63459.0,66068.0,65967,66410,71196,66292
Minnesota Vikings,1157107,535308.0,621799.0,66741,69879,66878,72842,67003.0,62167.0,66975.0,78113,69715.0,66933.0,76848.0,66843,,62626.0,66376,66932,67003,63233
New England Patriots,1165144,567168.0,597976.0,64628,64628,80876,93719,64628.0,61985.0,64628.0,65836,64628.0,50144.0,,82211,64628.0,66376.0,64628,76201,70772,64628
New Orleans Saints,1188849,560164.0,628685.0,70024,72709,78043,70003,64628.0,71810.0,70009.0,65427,70006.0,66933.0,,70166,70003.0,70009.0,70038,73228,65741,70072
New York Giants,1262352,634459.0,627893.0,80809,62080,71593,78507,65654.0,70515.0,81671.0,83367,62082.0,93338.0,62714.0,82211,,76637.0,70038,69879,75517,75740
New York Jets,1285954,701011.0,584943.0,83345,93689,80876,80461,76387.0,83068.0,,83367,75407.0,62383.0,70603.0,82973,74455.0,72956.0,65967,67470,67919,64628
Philadelphia Eagles,1223746,559032.0,664714.0,64628,69879,65426,69879,74935.0,83068.0,69879.0,64653,69879.0,,73754.0,69879,69879.0,93752.0,68758,69879,69879,75740
Pittsburgh Steelers,1146477,602796.0,543681.0,67679,67576,62541,71399,67272.0,,73471.0,67225,65969.0,67617.0,67919.0,65090,66436.0,66376.0,64171,66646,68735,70355
San Francisco 49ers,1186315,573245.0,613070.0,67679,74742,71593,71521,71617.0,67431.0,66975.0,71655,,69271.0,71607.0,68702,69879.0,71816.0,63967,71812,64424,71624
Seattle Seahawks,1193230,549886.0,643344.0,68683,66434,68699,78507,,66385.0,68781.0,68807,70753.0,68721.0,72704.0,68702,93367.0,71816.0,68758,60181,68735,63197
Tampa Bay Buccaneers,1140061,510321.0,629740.0,66741,62976,65426,70003,,65854.0,62620.0,70416,70785.0,62725.0,71607.0,64407,62432.0,69496.0,77275,62547,65741,69010
